band_name,baseline_x,baseline_y,baseline_z,pad
alma/f144,-33.89412596,-712.7516484,-2.330089496,A001
alma/f144,-17.45390887,-709.6086972,-2.32867142,A002
alma/f144,-22.5589292,-691.9838607,-2.323742384,A003
alma/f144,-5.421013146,-723.7911045,-2.334250518,A004
alma/f144,25.24593899,-744.4318445,-2.336684256,A005
alma/f144,20.94634824,-721.464646,-2.333017829,A006
alma/f144,15.93453511,-700.6757482,-2.32967552,A007
alma/f144,9.482335836,-687.0764746,-2.729176727,A008
alma/f144,-9.835100334,-663.8265957,-2.722704263,A009
alma/f144,-20.89371519,-653.559982,-2.43766594,A010
alma/f144,37.82617818,-735.8760818,-2.484749162,A011
alma/f144,0.965953711,-702.6549839,-2.325874408,A013
alma/f144,10.73987943,-659.5673638,-2.726261907,A015
alma/f144,-20.62042134,-633.9073418,-2.527672839,A016
alma/f144,-6.712372688,-684.9519378,-2.3269437,A017
alma/f144,-41.23929872,-725.9777278,-2.33663097,A018
alma/f144,-50.30411069,-711.209498,-2.332024766,A019
alma/f144,-43.64407228,-652.7424613,-2.322696805,A022
alma/f144,-59.4042934,-667.5717395,-2.130365568,A023
alma/f144,-74.47461587,-684.6574595,-2.129342649,A024
alma/f144,-84.5230042,-704.8937799,-1.937681767,A025
alma/f144,-86.87286754,-732.2620426,-1.928810218,A026
alma/f144,-93.14292454,-745.9594809,-1.941492838,A027
alma/f144,-57.04992893,-645.4388456,-2.129055948,A028
alma/f144,-68.48107366,-698.470785,-2.334779889,A030
alma/f144,-95.8997254,-694.8901111,-1.927739915,A031
alma/f144,-105.4387377,-755.003357,-1.640752815,A033
alma/f144,-76.90232093,-718.1727584,-1.929073338,A034
alma/f144,-26.04186157,-726.1888088,-2.332575051,A035
alma/f144,-15.39951252,-746.3592279,-2.331879161,A036
alma/f144,-80.49715673,-765.1118313,-1.942599619,A038
alma/f144,-64.18907113,-771.1494896,-1.940145207,A039
alma/f144,-42.33954858,-777.8607093,-2.339781511,A040
alma/f144,-23.09339256,-778.6079363,-2.340774491,A041
alma/f144,2.382622676,-763.2855572,-2.838872989,A042
alma/f144,17.1053716,-766.5338029,-2.842286715,A043
alma/f144,-80.06703001,-780.3740238,-1.336451415,A044
alma/f144,-63.50521219,-786.8199568,-1.341060659,A045
alma/f144,-36.66707354,-762.1662821,-2.339843364,A046
alma/f144,-19.65399721,-794.5952314,-2.338743316,A047
alma/f144,-1.523355241,-788.9452581,-2.8370088,A048
alma/f144,30.35174917,-773.9188068,-3.336231664,A049
alma/f144,-15.04639784,-764.3348031,-2.335016467,A050
